-----SERVER STARTED 2018/09/23 22:18:49 
2018/09/24 07:09:02  192.168.1.102 /home/irv/demos/documentation/ 50935
2018/09/24 07:09:12  192.168.1.102 /home/irv/demos/documentation/ 50935
2018/09/24 07:10:04  192.168.1.102 /home/irv/demos/documentation/ 50935
2018/09/24 07:10:17  192.168.1.102 /home/irv/demos/documentation/ 50935
2018/09/24 07:10:27  192.168.1.102 /home/irv/demos/documentation/ 50935
2018/09/24 07:10:37  192.168.1.102 /home/irv/demos/documentation/ 50935
2018/09/24 07:10:47  192.168.1.102 /home/irv/demos/documentation/ 50935
2018/09/24 07:10:57  192.168.1.102 /home/irv/demos/documentation/ 50935
2018/09/24 07:11:08  192.168.1.102 /home/irv/demos/documentation/ 50935
2018/09/24 07:11:18  192.168.1.102 /home/irv/demos/documentation/ 50935
2018/09/24 07:11:28  192.168.1.102 /home/irv/demos/documentation/ 50935
2018/09/24 07:11:38  192.168.1.102 /home/irv/demos/documentation/ 50935
2018/09/24 07:11:49  192.168.1.102 /home/irv/demos/documentation/ 50935
2018/09/24 07:11:59  192.168.1.102 /home/irv/demos/documentation/ 50935
2018/09/24 07:12:12  192.168.1.102 /home/irv/demos/documentation/ 50935
-----SERVER STARTED 2018/12/24 19:20:55 
-----Listening for request on 127.0.0.1:8080
2018/12/24 19:21:26  127.0.0.1 /home/irv/demos/documentation/ 398
2018/12/24 19:21:26  127.0.0.1 /home/irv/demos/documentation/.httpd.css 398
2018/12/24 19:21:26  127.0.0.1 /home/irv/demos/documentation/favicon.ico 21230
2018/12/24 19:21:26  127.0.0.1 /home/irv/demos/documentation/favicon.ico 21230
2018/12/24 19:21:31  127.0.0.1 /home/irv/demos/documentation/printing.html 14016
2018/12/24 19:21:31  127.0.0.1 /home/irv/demos/documentation/style.css 3971
2018/12/24 19:21:31  127.0.0.1 /home/irv/demos/thumbnails/gtk-logo-rgb.gif 6271
2018/12/24 19:21:31  127.0.0.1 /home/irv/demos/thumbnails/mongoose.png 4497
2018/12/24 19:21:31  127.0.0.1 /home/irv/demos/thumbnails/document-print.png 18542
2018/12/24 19:21:31  127.0.0.1 /home/irv/demos/screenshots/header1.png 11836
2018/12/24 19:21:31  127.0.0.1 /home/irv/demos/documentation/favicon.ico 21230
